Joint Id [0],Joint Name [1],Link Name [12],Joint Axis [13],Parent Link [16],Type,Effort ,Lower,Upper ,Range,Velocity,Damping,Friction,joint_part,
3,front_left_wheel,front_left_wheel_link,"(0.0, 1.0, 0.0)",-1,continuous,0,0,-1,-1,0,0,0,car wheel,
4,front_right_wheel,front_right_wheel_link,"(0.0, 1.0, 0.0)",-1,continuous,0,0,-1,-1,0,0,0,car wheel,
5,rear_left_wheel,rear_left_wheel_link,"(0.0, 1.0, 0.0)",-1,continuous,0,0,-1,-1,0,0,0,car wheel,
6,rear_right_wheel,rear_right_wheel_link,"(0.0, 1.0, 0.0)",-1,continuous,0,0,-1,-1,0,0,0,car wheel,
13,husky_ptu_pan,husky_ptu_tilt_link,"(0.0, -1.0, 0.0)",12,Revolute,30,-2.775,2.775,5.5,1,0,0,car camera,
14,husky_ptu_tilt,husky_ptu_tilted_link,"(0.0, 1.0, 0.0)",13,Revolute,30,-0.82,0.52,1.34,1,0,0,car camera,
19,l_ur5_arm_shoulder_pan_joint,l_ur5_arm_shoulder_link,"(0.0, 0.0, 1.0)",18,Revolute,150,-2pi,2pi,4pi,pi,0,0,left arm joint,
20,l_ur5_arm_shoulder_lift_joint,l_ur5_arm_upper_arm_link,"(0.0, 1.0, 0.0)",19,Revolute,150,-2pi,2pi,4pi,pi,0,0,left arm joint,
21,l_ur5_arm_elbow_joint,l_ur5_arm_forearm_link,"(0.0, 1.0, 0.0)",20,Revolute,150,-pi,pi,2pi,3.15,0,0,left arm joint,
22,l_ur5_arm_wrist_1_joint,l_ur5_arm_wrist_1_link,"(0.0, 1.0, 0.0)",21,Revolute,28,-2pi,2pi,4pi,pi,0,0,left arm joint,
23,l_ur5_arm_wrist_2_joint,l_ur5_arm_wrist_2_link,"(0.0, 0.0, 1.0)",22,Revolute,28,-2pi,2pi,4pi,pi,0,0,left arm joint,
24,l_ur5_arm_wrist_3_joint,l_ur5_arm_wrist_3_link,"(0.0, 1.0, 0.0)",23,Revolute,28,-2pi,2pi,4pi,pi,0,0,left arm joint,
32,left_hand_Thumb_Opposition,left_hand_z,"(0.0, 0.0, 1.0)",31,Revolute,1000,0,0.9879,0.9879,1,0,0,left_thumb_root,
34,left_hand_Thumb_Flexion,left_hand_a,"(0.0, 0.0, -1.0)",33,Revolute,1000,0,0.9704,0.9704,1,0,0,left_thumb_low,
35,left_hand_j3,left_hand_b,"(0.0, 0.0, -1.0)",34,Revolute,1000,0,0.98506,0.98506,1,0,0,left_thumb_mid,
36,left_hand_j4,left_hand_c,"(0.0, 0.0, -1.0)",35,Revolute,1000,0,1.406,1.406,1,0,0,left_thumb_tip,
40,left_hand_index_spread,left_hand_virtual_l,"(0.0, 0.0, -1.0)",39,Revolute,1000,0,0.28833,0.28833,1,0,0,left_index_flex,
41,left_hand_Index_Finger_Proximal,left_hand_l,"(0.0, 0.0, 1.0)",40,Revolute,1000,0,0.79849,0.79849,1,0,0,left_index_low,
42,left_hand_Index_Finger_Distal,left_hand_p,"(0.0, 0.0, 1.0)",41,Revolute,1000,0,1.334,1.334,1,0,0,left_index_mid,
43,left_hand_j14,left_hand_t,"(0.0, 0.0, 1.0)",42,Revolute,1000,0,1.394,1.394,1,0,0,left_index_tip,
45,left_hand_Middle_Finger_Proximal,left_hand_k,"(0.0, 0.0, 1.0)",44,Revolute,1000,0,0.79849,0.79849,1,0,0,left_mid_low,
46,left_hand_Middle_Finger_Distal,left_hand_o,"(0.0, 0.0, 1.0)",45,Revolute,1000,0,1.334,1.334,1,0,0,left_mid_mid,
47,left_hand_j15,left_hand_s,"(0.0, 0.0, 1.0)",46,Revolute,1000,0,1.334,1.334,1,0,0,left_mid_tip,
52,left_hand_Finger_Spread,left_hand_virtual_i,"(0.0, 0.0, -1.0)",51,Revolute,1000,0,0.5829,0.5829,1,0,0,left_pinky_flex,
53,left_hand_Pinky,left_hand_i,"(0.0, 0.0, 1.0)",52,Revolute,1000,0,0.98175,0.98175,1,0,0,left_pinky_low,
54,left_hand_j13,left_hand_m,"(0.0, 0.0, 1.0)",53,Revolute,1000,0,1.334,1.334,1,0,0,left_pinky_mid,
55,left_hand_j17,left_hand_q,"(0.0, 0.0, 1.0)",54,Revolute,1000,0,1.3971,1.3971,1,0,0,left_pinky_tip,
57,left_hand_ring_spread,left_hand_virtual_j,"(0.0, 0.0, -1.0)",56,Revolute,1000,0,0.28833,0.28833,1,0,0,left_ring_flex,
58,left_hand_Ring_Finger,left_hand_j,"(0.0, 0.0, 1.0)",57,Revolute,1000,0,0.98175,0.98175,1,0,0,left_ring_low,
59,left_hand_j12,left_hand_n,"(0.0, 0.0, 1.0)",58,Revolute,1000,0,1.334,1.334,1,0,0,left_ring_mid,
60,left_hand_j16,left_hand_r,"(0.0, 0.0, 1.0)",59,Revolute,1000,0,1.395,1.395,1,0,0,left_ring_tip,
65,r_ur5_arm_shoulder_pan_joint,r_ur5_arm_shoulder_link,"(0.0, 0.0, 1.0)",64,Revolute,150,-2pi,2pi,4pi,pi,0,0,right arm joint,
66,r_ur5_arm_shoulder_lift_joint,r_ur5_arm_upper_arm_link,"(0.0, 1.0, 0.0)",65,Revolute,150,-2pi,2pi,4pi,pi,0,0,right arm joint,
67,r_ur5_arm_elbow_joint,r_ur5_arm_forearm_link,"(0.0, 1.0, 0.0)",66,Revolute,150,-pi,pi,2pi,3.15,0,0,right arm joint,
68,r_ur5_arm_wrist_1_joint,r_ur5_arm_wrist_1_link,"(0.0, 1.0, 0.0)",67,Revolute,28,-2pi,2pi,4pi,pi,0,0,right arm joint,
69,r_ur5_arm_wrist_2_joint,r_ur5_arm_wrist_2_link,"(0.0, 0.0, 1.0)",68,Revolute,28,-2pi,2pi,4pi,pi,0,0,right arm joint,
70,r_ur5_arm_wrist_3_joint,r_ur5_arm_wrist_3_link,"(0.0, 1.0, 0.0)",69,Revolute,28,-2pi,2pi,4pi,pi,0,0,right arm joint,
78,right_hand_Thumb_Opposition,right_hand_z,"(0.0, 0.0, -1.0)",77,Revolute,1000,0,0.9879,0.9879,1,0,0,right_thumb_root,interface between hand and arm
80,right_hand_Thumb_Flexion,right_hand_a,"(0.0, 0.0, 1.0)",79,Revolute,1000,0,0.9704,0.9704,1,0,0,right_thumb_low,root of the whole thumb
81,right_hand_j3,right_hand_b,"(0.0, 0.0, 1.0)",80,Revolute,1000,0,0.98506,0.98506,1,0,0,right_thumb_mid,root of the middle thumb
82,right_hand_j4,right_hand_c,"(0.0, 0.0, 1.0)",81,Revolute,1000,0,1.406,1.406,1,0,0,right_thumb_tip,
86,right_hand_index_spread,right_hand_virtual_l,"(0.0, 0.0, 1.0)",85,Revolute,1000,0,0.28833,0.28833,1,0,0,right_index_flex,
87,right_hand_Index_Finger_Proximal,right_hand_l,"(0.0, 0.0, 1.0)",86,Revolute,1000,0,0.79849,0.79849,1,0,0,right_index_low,
88,right_hand_Index_Finger_Distal,right_hand_p,"(0.0, 0.0, 1.0)",87,Revolute,1000,0,1.334,1.334,1,0,0,right_index_mid,
89,right_hand_j14,right_hand_t,"(0.0, 0.0, 1.0)",88,Revolute,1000,0,1.394,1.394,1,0,0,right_index_tip,
91,right_hand_Middle_Finger_Proximal,right_hand_k,"(0.0, 0.0, 1.0)",90,Revolute,1000,0,0.79849,0.79849,1,0,0,right_mid_low,
92,right_hand_Middle_Finger_Distal,right_hand_o,"(0.0, 0.0, 1.0)",91,Revolute,1000,0,1.334,1.334,1,0,0,right_mid_mid,
93,right_hand_j15,right_hand_s,"(0.0, 0.0, 1.0)",92,Revolute,1000,0,1.334,1.334,1,0,0,right_mid_tip,
98,right_hand_Finger_Spread,right_hand_virtual_i,"(0.0, 0.0, 1.0)",97,Revolute,1000,0,0.5829,0.5829,1,0,0,right_pinky_flex,
99,right_hand_Pinky,right_hand_i,"(0.0, 0.0, 1.0)",98,Revolute,1000,0,0.98175,0.98175,1,0,0,right_pinky_low,
100,right_hand_j13,right_hand_m,"(0.0, 0.0, 1.0)",99,Revolute,1000,0,1.334,1.334,1,0,0,right_pinky_mid,
101,right_hand_j17,right_hand_q,"(0.0, 0.0, 1.0)",100,Revolute,1000,0,1.3971,1.3971,1,0,0,right_pinky_tip,
103,right_hand_ring_spread,right_hand_virtual_j,"(0.0, 0.0, 1.0)",102,Revolute,1000,0,0.28833,0.28833,1,0,0,right_ring_flex,
104,right_hand_Ring_Finger,right_hand_j,"(0.0, 0.0, 1.0)",103,Revolute,1000,0,0.98175,0.98175,1,0,0,right_ring_low,
105,right_hand_j12,right_hand_n,"(0.0, 0.0, 1.0)",104,Revolute,1000,0,1.334,1.334,1,0,0,right_ring_mid,
106,right_hand_j16,right_hand_r,"(0.0, 0.0, 1.0)",105,Revolute,1000,0,1.395,1.395,1,0,0,right_ring_tip,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Links Id,Links Name,Links Parts,,,,,,,,,,,,
,,,,,,,,,,,,,,
77,right_hand_e1,palm part 1,interface between hand and arm,,,,,,,,,,,
,,,,,,,,,,,,,,
72,r_robotiq_fts300_fts_fix,center of the  black connector,,0,,,,,,,,,,
73,r_robotiq_fts300_measurment_joint,similar above,,0,,,,,,,,,,
74,r_robotiq_fts300_toolside_joint,between hand base and black connector,,0,,,,,,,,,,
75,r_robotiq_hand_joint,similar above,four point,0,,,,,,,,,,
76,right_hand_base_joint,similar above,around the ,,,,,,,,,,,
77,right_hand_f4,similar above,connector,,,,,,,,,,,
78,right_hand_Thumb_Opposition,similar above,connect hand base,,,,,,,,,,,
79,right_hand_Thumb_Helper,root of the whole thumb,,,,,,,,,,,,
80,right_hand_Thumb_Flexion,root of the whole thumb,,,,,,,,,,,,
81,right_hand_j3,root of the middle thumb,,,,,,,,,,,,
82,right_hand_j4,root of the tip thumb,,,,,,,,,,,,
83,right_hand_f1,similar above,,,,,,,,,,,,
84,right_hand_f2,similar above,,,,,,,,,,,,
85,right_hand_f3,similar above,,,,,,,,,,,,
86,right_hand_index_spread,root of index finger,these are different ,,,,,,,,,,,
87,right_hand_Index_Finger_Proximal,root of index finger,,,,,,,,,,,,
88,right_hand_Index_Finger_Distal,root of mid index finger,,,,,,,,,,,,
89,right_hand_j14,root of tip index finger,,,,,,,,,,,,
90,right_hand_middle_spread_dummy,root of mid finger,,,,,,,,,,,,
91,right_hand_Middle_Finger_Proximal,root of mid finger,,,,,,,,,,,,
92,right_hand_Middle_Finger_Distal,root of mid mid finger,,,,,,,,,,,,
93,right_hand_j15,root of tip mid finger,,,,,,,,,,,,
94,right_hand_j5,root of left half palm,,,,,,,,,,,,
95,right_hand_f5,root of left half palm,,,,,,,,,,,,
96,right_hand_f6,root of left half palm,,,,,,,,,,,,
97,right_hand_f7,root of left half palm,,,,,,,,,,,,
98,right_hand_Finger_Spread,root of pinky finger,,,,,,,,,,,,
99,right_hand_Pinky,root of pinky finger,,,,,,,,,,,,
100,right_hand_j13,root of mid pinky finger,,,,,,,,,,,,
101,right_hand_j17,root of tip pinky finger,,,,,,,,,,,,
102,right_hand_f8,root of left half palm,,,,,,,,,,,,
103,right_hand_ring_spread,root of ring finger,,,,,,,,,,,,
104,right_hand_Ring_Finger,root of ring finger,,,,,,,,,,,,
105,right_hand_j12,root of mid ring finger,,,,,,,,,,,,
106,right_hand_j16,root of tip ring finger,,,,,,,,,,,,
107,r_ur5_arm_wrist_3_link_tool0_fixed_joint,interface between black and arm,,,,,,,,,,,,
108,r_ur5_arm_tool0_to_r_tcp_fixed_joint,interface between black and arm,,,,,,,,,,,,
109,r_ur5_arm_base_link_base_fixed_joint,root of right arm,,,,,,,,,,,,
,,,,,,,,,,,,,,
110 joints,56 REVOLUTE,,,,,,,,,,,,,
