Task ID,Object,Object ID,side,Affordance,Affordance ID,Class ID,o2h,Trans,Orientation,Topology,p_obj,q_obj,lower,upper
0,faucet,152,0,Lever,9,1,"(+x, -y)(+y,+z) (+z,-x)","[0.150264, 0.0355728, -0.0201549]","[-0.320622, -0.633967, 0.241817, 0.660917]",inSiAd2,"[0.78, -0.455, 0.2]","[0.49969, -0.48231, -0.49969, 0.51769]",0,0.2
1,handle_bottle,3425,0,Twist,4,14,"(+x,-y)(+y,+z)(+z,-x)","[0.05, 0.1, 0.045]","[-0.0341949, -0.784252, -0.252614, 0.565656]",inSiAd2,"[0.78, -0.455, 0.212]","[0.49969, -0.48231, -0.49969, 0.51769]",0,0.2
2,dispenser,3632,0,press,3,7,"(+x,-x)(+y,+z)(+z,+y)","[0.04892170864676, 0.16, -0.0022498297]","[0, 0, 0, 1]",platform,"[0.78, -0.455, 0.208]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
3,dispenser,103410,0,press,3,6,"(+x, -x)(+y, +z)(+z, -y)","[0.04, 0.18, 0.]","[0.0135182, 0.110816, -0.0534604, 0.99231]",platform,"[0.78, -0.455, 0.207]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
4,knife,115,0,Handle-grasp,1,2,"(+x, +x)(+y, +z)(+z, -y)","[-0.000204797, -0.0185244, 0.0481876]","[-0.257982, 0.684198, 0.680073, .0530869]",poPmAb25,"[0.78, -0.455, 0.245]","[0.6758314806488387, 0.1598809464651245, 0.16563695266234274, 0.7001816140360636]",0,0.2
5,knife,118,1,Handle-grasp,1,1,"(+x, +x)(+y, +z)(+z, -y)","[0.00937684, -0.00689652, 0.0381316]","[0.106279, 0.74601, 0.64626, -0.120501]",poPmAb25,"[0.78, -0.455, 0.217]","[0.6930979233174631, -0.05010734779515503, -0.05177363800931136, 0.7172335831493365]",0,0.2
6,faucet,988,0,press,9,1,"(+x, -x)(+y, +z)(+z, +y)","[-0.0177361, 0.17, 0.06]","[0, 0, 0, 1]",platform,"[0.77, -0.45, 0.22 ]","[-0.2072868702925121, 0.6628289829834849, 0.6867109551892087, -0.21475091791314677]",0,0.2
7,handle_bottle,3381,0,Handle-grasp,1,4,"(+x,-y)(+y,+z)(+z,-x)","[0.0379279, 0.065, 0.16]","[-0.260959, -0.556685, -0.605796, 0.504989]",poPmAb25,"[0.79, -0.455, 0.277]","[0.49969, -0.48231, -0.49969, 0.51769]",0,0.2
8,bottle,3418,0,Wrap-grasp,5,9,"(+x,-x)(+y,+z)(+z,+y)","[0.0, 0.02, -0.045]","[-0.729544, -9.80207e-08, 9.80207e-08, 0.683934]",poPmAb25,"[0.82, -0.455, 0.204]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
9,bottle,3422,0,Wrap-grasp,5,1,"(+x,+y)(+y,+z)(+z,+x)","[-0.0552314, 0.042203, -0.0319936]","[-0.441842, 0.473056, 0.210813, 0.732497]",poPmAb25,"[0.78, -0.455, 0.207]","[0.4457537830750951, 0.5325539147849976, 0.5517381789384176, 0.461816927605662]",0,0.2
10,handle_bottle,3425,0,Wrap-grasp,5,5,"(+x,-x)(+y,+z)(+z,+y)","[0.065, 0.006, -0.008]","[-0.589008, -0.140753, -0.266057, 0.749981]",poPmAb25,"[0.78, -0.455, 0.212]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
11,bottle,3528,0,Wrap-grasp,5,1,"(+x,+y)(+y,+z)(+z, -y)","[-0.05, 0.01, 0.0299128]","[-0.407704, 0.706773, 0.517748, 0.257269]",poPmAb25,"[0.78, -0.455, 0.222]","[0.601340510200827, 0.34741862078765195, 0.35993177800905934, 0.6230080319712193]",0,0.2
12,dispenser,3686,0,Wrap-grasp,5,2,"(+x,-x)(+y,+z)(+z,+y)","[0.025, 0.01, -0.061009]","[-0.682021, -9.16356e-08, 9.16356e-08, 0.731332]",poPmAb25,"[0.78, -0.455, 0.203]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
13,jar,4403,0,Wrap-grasp,5,2,"(+x, -x)(+y, +z)(+z, +y)","[-0.008, -0.00581182, -0.05]","[-0.70144, 0.225944, 0.0850949, 0.670589]",poPmAb25,"[0.80, -0.455, 0.21]","[0.16980963543805255, 0.673408835800604, 0.6976802759352465, 0.17586204863184463]",0,0.2
14,jar,5955,2,Wrap-grasp,5,5,"(+x, -y)(+y, +z)(+z, -x)","[0.05, -0.0102846, 0.006]","[-0.503889, -0.416008, -0.478943, 0.586214]",poPmAb25,"[0.78, -0.455, 0.254]","[0.49969, -0.48231, -0.49969, 0.51769]",0,0.2
15,mug,8661,0,Handle-grasp,1,5,"(+x, +x)(+y, +z)(+z, -y)","[0.022, 0.0100461, 0.11]","[0.198491, 0.632707, 0.673938, -0.325716]",poPmAb25,"[0.78, -0.455, 0.2]","[0.634776267630865, -0.2817253934795619, -0.29187949990541634, 0.6576444710148323]",0,0.2
16,dispenser,103410,1,Wrap-grasp,5,5,"(+x, -x)(+y, +z)(+z, -y)","[0.044166, 0.0110859, 0.04]","[0.273749, 0.604302, 0.623177, -0.414164]",poPmAb25,"[0.83, -0.455, 0.207]","[0.634776267630865, -0.2817253934795619, -0.29187949990541634, 0.6576444710148323]",0,0.2
17,bottle,3418,0,Twist,6,4,"(+x, -y)(+y,+z)(+z, -x)","[0.04, 0.03, -0.047]","[-0.457264, -0.236425, -0.22412, 0.827516]",pPdAb2,"[0.78, -0.455, 0.204]","[-0.3040111875475427, 0.6244095652090206, 0.6469079552729914, -0.3149602992853735]",0,0.2
18,dispenser,3686,1,Twist,6,3,"(+x,-x)(+y,+z)(+z,+y)","[0.035, 0.05, -0.055]","[-0.423136, -0.150255, -0.162488, 0.878622]",pPdAb2,"[0.78, -0.455, 0.203]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
19,jar,5955,0,Twist,4,1,"(+x, -y)(+y, +z)(+z, -x)","[0.055, 0.05, -0.006]","[-0.384356, -0.466593, -0.413711, 0.680738]",pPdAb2,"[0.78, -0.455, 0.254]","[0.49969, -0.48231, -0.49969, 0.51769]",0,0.2
20,dispenser,103410,0,Twist,6,5,"(+x, -x)(+y, +z)(+z, -y)","[-0.0145797, 0.078, -0.052]","[-0.595205, 0.18392, 0.0144971, 0.782109]",pPdAb2,"[0.78, -0.455, 0.207]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
21,faucet,912,1,Twist,4,3,"(+x,-x)(+y,+z)(+z,+y)","[-0.0207426, 0.05, -0.103529]","[-0.374556, 0.274257, -0.0158655, 0.885573]",pPdAb23,"[0.80, -0.42, 0.223]","[0.16973510434523012, 0.6734241617520857, 0.697685491060045, 0.17585462258842804]",0,0.2
22,handle_bottle,3695,1,Wrap-grasp,5,2,"(+x, -x)(+y, +z)(+z, +y)","[0.013945, 0.1, -0.05]","[-0.682485, 0.0739395, -0.0783748, 0.722914]",pPdAb23,"[0.78, -0.455, 0.214]","[0.16973510434523012, 0.6734241617520857, 0.697685491060045, 0.17585462258842804]",0,0.2
23,scissors,10444,0,Handle-grasp,1,1,"(+x, -z)(+y, -x)(+z, +y)","[0.02, 0.0289606, -0.068]","[-0.378661, -0.516375, 0.430595, 0.636051]",pPdAb23,"[0.78, -0.455, 0.23]","[0.53505, -0.48232, -0.49969, -0.48106]",0,0.2
24,jar,4403,0,Twist,4,1,"(+x, -x)(+y, +z)(+z, +y)","[-0.036, 0.144584, -0.01]","[0.0272045, 0.11589, 0.32278, 0.938958]",pPdAb25,"[0.78, -0.455, 0.21]","[-0.0021493528746784063, 0.694482172241164, 0.7195032686169555, -0.002222424561526035]",0,0.2
25,Earphone,9694,1,lift,8,2,"(+x, +y)(+y, +z)(+z, +x)","[-0.16, 0.0619914, 0.00476923]","[-0.415394, 0.67562, 0.2644, 0.548706]",pPdAb25,"[0.78, -0.455, 0.216]","[0.520332311052205, 0.4599612954952373, 0.47652969472132267, 0.5390819443927033]",0,0.2
26,Earphone,9789,0,pull,8,1,"(+x, -y)(+y, +z)(+z, -x)","[0.12, 0.109162, -0.00461451]","[-0.127453, -0.307434, -0.426463, 0.841053]",pPdAb25,"[0.78, -0.455, 0.237]","[0.49969, -0.48231, -0.49969, 0.51769]",0,0.2
